date,tag,count
2014-06-01,slow burn,3
2014-05-31,slow burn,7
2014-05-30,slow burn,7
2014-05-29,slow burn,2
2014-05-28,slow burn,3
2014-05-27,slow burn,6
2014-05-26,slow burn,3
2014-05-25,slow burn,2
2014-05-24,slow burn,1
2014-05-23,slow burn,4
2014-05-21,slow burn,2
2014-05-20,slow burn,2
2014-05-19,slow burn,5
2014-05-18,slow burn,4
2014-05-17,slow burn,9
2014-05-16,slow burn,4
2014-05-15,slow burn,1
2014-05-14,slow burn,4
2014-05-13,slow burn,3
2014-05-12,slow burn,5
2014-05-11,slow burn,1
2014-05-10,slow burn,3
2014-05-09,slow burn,3
2014-05-08,slow burn,10
2014-05-07,slow burn,3
2014-05-06,slow burn,5
2014-05-05,slow burn,2
2014-05-04,slow burn,3
2014-05-03,slow burn,4
2014-05-02,slow burn,1
2014-05-01,slow burn,7
2014-04-30,slow burn,1
2014-04-29,slow burn,3
2014-04-28,slow burn,9
2014-04-27,slow burn,4
2014-04-26,slow burn,5
2014-04-25,slow burn,4
2014-04-24,slow burn,5
2014-04-23,slow burn,5
2014-04-22,slow burn,3
2014-04-21,slow burn,6
2014-04-20,slow burn,2
2014-04-19,slow burn,3
2014-04-18,slow burn,4
2014-04-17,slow burn,3
2014-04-16,slow burn,1
2014-04-15,slow burn,3
2014-04-14,slow burn,6
2014-04-13,slow burn,3
